time,gFx,gFy,gFz,gFTotal
0.9973492622375488,-0.0465850830078125,-0.1291961669921875,-0.9833984375,0.993
1.9990570545196533,-0.0464630126953125,-0.13226318359375,-0.9956817626953125,1.006
2.999753952026367,-0.0458526611328125,-0.1314544677734375,-0.9870147705078125,0.997
3.9997751712799072,-0.0499114990234375,-0.130126953125,-0.9871978759765625,0.997
5.001161098480225,-0.045654296875,-0.130462646484375,-0.98779296875,0.997
6.001399040222168,-0.0538787841796875,-0.134124755859375,-0.9815673828125,0.992
7.002086162567139,-0.0505828857421875,-0.1317901611328125,-0.9995880126953125,1.01
8.003567218780518,-0.0413665771484375,-0.1317596435546875,-0.98797607421875,0.998
9.003684043884277,-0.0536041259765625,-0.13031005859375,-0.983001708984375,0.993
10.004537105560303,-0.0488128662109375,-0.1329345703125,-1.0032806396484375,1.013
11.00531816482544,-0.0461883544921875,-0.1307525634765625,-0.989105224609375,0.999
12.006031036376953,-0.0369873046875,-0.13055419921875,-0.9928131103515625,1.002
13.00769329071045,-0.053466796875,-0.1342010498046875,-0.98614501953125,0.997
14.00829029083252,-0.048736572265625,-0.13262939453125,-0.993560791015625,1.004
15.008496284484863,-0.0469207763671875,-0.1285552978515625,-0.97894287109375,0.988
16.010916233062744,-0.0539703369140625,-0.131134033203125,-0.9912567138671875,1.001
17.010355949401855,-0.0457305908203125,-0.135986328125,-0.990447998046875,1.001
18.012333154678345,-0.0478973388671875,-0.131378173828125,-0.983856201171875,0.994
19.013154983520508,-0.0526580810546875,-0.13165283203125,-0.994110107421875,1.004
20.014063119888306,-0.04510498046875,-0.1377105712890625,-0.9984130859375,1.009
21.01399517059326,-0.046142578125,-0.12872314453125,-0.99053955078125,1.0
22.014251232147217,-0.04046630859375,-0.1328582763671875,-0.992401123046875,1.002
23.015526056289673,-0.054718017578125,-0.1317138671875,-0.9895172119140625,1.0
24.01602816581726,-0.0457763671875,-0.1350555419921875,-0.9887237548828125,0.999
25.016496181488037,-0.0507049560546875,-0.131622314453125,-0.9827728271484375,0.993
